"Reference","Value","Datasheet","Footprint","Qty","DNP","#","LCSC","Manufacturer PN","Notes","Description"
"C2","0.1uF","https://datasheet.lcsc.com/szlcsc/YAGEO-CChttps://datasheet.lcsc.com/szlcsc/YAGEO-https://datasheet.lcsc.com/szlcsc/YAGEO-CC0805KRX7R9BB104_C49678.pdf","Capacitor_SMD:C_0805_2012Metric","1","","1","C49678","CC0805KRX7R9BB104","","X7R ±10% 50V"
"D1","CDSOT23-SM712","https://www.lcsc.com/datasheet/C404012.pdf?spm=wm.sxq.inf.ggs&lcsc_vid=QVANA1IAQ1NcXlYHTgJWBlQDElJXVVwDFFlXAVEFRwcxVlNRT1RWVFxQR1BWVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1VaUl1eWQkaCgg%3D","CDSOT23-SM712:CDSOT23-SM712","1","","2","C404012","CDSOT23-SM712","","ESD 12VWM 7VWM 26VC 14VC"
"D2","SS54","https://datasheet.lcsc.com/szlcsc/1903042030_MDD-Jiangsu-Yutai-Elec-SS54_C16103.pdf","SS54:SS54","1","","3","C22452","SS54","","SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER."
"IC2","THVD1410DR","https://www.ti.com/lit/ds/symlink/thvd1410.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1778506322792&ref_url=https%253A%252F%252Fwww.ti.com%252Fgeneral%252Fdocs%252Fsuppproductinfo.tsp%253FdistId%253D10%2526gotoUrl%253Dhttps%253A%252F%252Fwww.ti.com%252Flit%252Fgpn%252Fthvd1410","THVD1410DR:THVD1410DR","1","","4","C2671345","THVD1410DR","","3.3-V to 5-V RS-485 transceiver with +/-18-kV IEC ESD protection"
"J1,J2","Mini-Fit Jr. 2x03","https://datasheet.lcsc.com/lcsc/2005291105_MOLEX-39299062_C505177.pdf","OH_Footprints:Molex_Mini-Fit_Jr_5569-06A1_2x03_P4.20mm_Horizontal","2","","5","C589019","39-29-1067","",""
"J3","PinHeader_2x11","https://app.adam-tech.com/products/download/data_sheet/202065/ph2-xx-ua-data-sheet.pdf","OH_Footprints:PinHeader_2x11_P2.54mm_Vertical","1","","6","","PH2-11-UA","",""
"J4,J5,J6","PinHeader_2x10","https://app.adam-tech.com/products/download/data_sheet/202065/ph2-xx-ua-data-sheet.pdf","OH_Footprints:PinHeader_2x10_P2.54mm_Vertical","3","","7","","PH2-10-UA","",""
"J7","PinHeader_2x02","https://jlcpcb.com/partdetail/boomele_boom_Precision_elec-C66690/C66690","OH_Footprints:PinHeader_2x02_P2.54mm_Vertical","1","","8","C66690","C66690","",""
"J8,J10,J11,J12,J13","PinHeader_1x08","https://app.adam-tech.com/products/download/data_sheet/202065/ph2-xx-ua-data-sheet.pdf","OH_Footprints:PinHeader_1x08_P2.54mm_Vertical","5","","9","","PH1-08-UA","",""
"J9","PinHeader_1x10","https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf","OH_Footprints:PinHeader_1x10_P2.54mm_Vertical","1","","10","","PH1-10-UA","",""
"J14","PinHeader_2x18","https://app.adam-tech.com/products/download/data_sheet/202065/ph2-xx-ua-data-sheet.pdf","OH_Footprints:PinHeader_2x18_P2.54mm_Vertical","1","","11","","PH2-18-UA","",""
"JP1","PinHeader_1x02","https://app.adam-tech.com/products/download/data_sheet/201605/ph1-xx-ua-data-sheet.pdf","OH_Footprints:PinHeader_1x02_P2.54mm_Vertical","1","","12","","PH1-02-UA","",""
"R1,R7","10kΩ","https://www.lcsc.com/datasheet/C140868.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.3.xh&lcsc_vid=QVANA1IAQ1NcXlYHTgJWBlQDElJXVVwDFFlXAVEFRwcxVlNRT1RWU1VfR1dYUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVdZVldSQk8GEwkK","Resistor_SMD:R_0805_2012Metric","2","","13","C140868","AC0805FR-0710KL","","±1% 125mW"
"R4,R5","10Ω","https://www.vishay.com/docs/20043/crcwhpe3.pdf","Resistor_SMD:R_0805_2012Metric","2","","14","C844598","CRCW080510R0FKEAHP","","±1% 500mW"
