Designator,Mid X,Mid Y,Rotation,Side
D1,3.919,-4.442,270,top
D2,3.919,-7.617,90,top
D3,5.5065,-2.8545,0,top
D4,5.5065,-4.442,315,top
D5,5.5065,-6.0295,0,top
D6,5.5065,-7.617,45,top
D7,5.5065,-9.2045,0,top
D8,7.094,-4.442,270,top
D9,7.094,-7.617,90,top
D10,8.6815,-2.8545,0,top
D11,8.6815,-4.442,45,top
D12,8.6815,-6.0295,0,top
D13,8.6815,-7.617,315,top
D14,8.6815,-9.2045,0,top
D15,10.269,-4.442,270,top
D16,10.269,-7.617,90,top
D17,14.079,-4.442,270,top
D18,14.079,-7.617,90,top
D19,15.6665,-2.8545,0,top
D20,15.6665,-4.442,315,top
D21,15.6665,-6.0295,0,top
D22,15.6665,-7.617,45,top
D23,15.6665,-9.2045,0,top
D24,17.254,-4.442,270,top
D25,17.254,-7.617,90,top
D26,18.8415,-2.8545,0,top
D27,18.8415,-4.442,45,top
D28,18.8415,-6.0295,0,top
D29,18.8415,-7.617,315,top
D30,18.8415,-9.2045,0,top
D31,20.429,-4.442,270,top
D32,20.429,-7.617,90,top
D33,24.239,-4.442,270,top
D34,24.239,-7.617,90,top
D35,25.8265,-2.8545,0,top
D36,25.8265,-4.442,315,top
D37,25.8265,-6.0295,0,top
D38,25.8265,-7.617,45,top
D39,25.8265,-9.2045,0,top
D40,27.414,-4.442,270,top
D41,27.414,-7.617,90,top
D42,29.0015,-2.8545,0,top
D43,29.0015,-4.442,45,top
D44,29.0015,-6.0295,0,top
D45,29.0015,-7.617,315,top
D46,29.0015,-9.2045,0,top
D47,30.589,-4.442,270,top
D48,30.589,-7.617,90,top
D49,34.399,-4.442,270,top
D50,34.399,-7.617,90,top
D51,35.9865,-2.8545,0,top
D52,35.9865,-4.442,315,top
D53,35.9865,-6.0295,0,top
D54,35.9865,-7.617,45,top
D55,35.9865,-9.2045,0,top
D56,37.574,-4.442,270,top
D57,37.574,-7.617,90,top
D58,39.1615,-2.8545,0,top
D59,39.1615,-4.442,45,top
D60,39.1615,-6.0295,0,top
D61,39.1615,-7.617,315,top
D62,39.1615,-9.2045,0,top
D63,40.749,-4.442,270,top
D64,40.749,-7.617,90,top
D65,0.744,-4.442,90,top
D66,0.744,-7.617,90,top
