"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"OH_LOGO_37.7mm_5.9mm";1;"LOGO";;;
2;"G***";"CC-BY-NC-SA";1;"LOGO";;;
3;"P3,P4,P5";"MountingHole_2.7mm_M2.5";3;"CONN_01X01";;;
4;"J2";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"BUS IN";;;
5;"R2";"R_0402_1005Metric";1;"30K";;;
6;"U1";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm";1;"MAX487EESA+T";;;
7;"R1";"R_0402_1005Metric";1;"120";;;
8;"P2";"PinHeader_1x15_P2.54mm_Vertical_SMD_Pin1Left";1;"Analog";;;
9;"P1";"PinHeader_1x15_P2.54mm_Vertical_SMD_Pin1Left";1;"Digital";;;
10;"IC1";"SOIC-24W_7.5x15.4mm_P1.27mm";1;"MAX7219";;;
11;"D22";"LED_0402_1005Metric";1;"5,3";;;
12;"D21";"LED_0402_1005Metric";1;"4,3";;;
13;"D20";"LED_0402_1005Metric";1;"2,3";;;
14;"D19";"LED_0402_1005Metric";1;"1,3";;;
15;"D18";"LED_0402_1005Metric";1;"5,2";;;
16;"D17";"LED_0402_1005Metric";1;"4,2";;;
17;"D16";"LED_0402_1005Metric";1;"2,2";;;
18;"D15";"LED_0402_1005Metric";1;"1,2";;;
19;"D14";"LED_0402_1005Metric";1;"6,1";;;
20;"D13";"LED_0402_1005Metric";1;"5,1";;;
21;"D12";"LED_0402_1005Metric";1;"4,1";;;
22;"D11";"LED_0402_1005Metric";1;"3,1";;;
23;"D10";"LED_0402_1005Metric";1;"2,1";;;
24;"D9";"LED_0402_1005Metric";1;"1,1";;;
25;"D8";"LED_0402_1005Metric";1;"0,1";;;
26;"D7";"LED_0402_1005Metric";1;"6,0";;;
27;"D6";"LED_0402_1005Metric";1;"5,0";;;
28;"D5";"LED_0402_1005Metric";1;"4,0";;;
29;"D4";"LED_0402_1005Metric";1;"3,0";;;
30;"D3";"LED_0402_1005Metric";1;"2,0";;;
31;"D2";"LED_0402_1005Metric";1;"1,0";;;
32;"D1";"LED_0402_1005Metric";1;"0,0";;;
33;"C3";"C_0402_1005Metric";1;"100nF";;;
34;"C2";"CP_Radial_D4.0mm_P1.50mm";1;"47uF";;;
35;"C1";"C_0402_1005Metric";1;"0.1uF";;;
36;"SW1,SW2,SW3,SW4,SW5";"SWITCH_SNAP_DOME_6.3mm_DIA_SINGLE_SIDE_PCB";5;"SW_Push";;;
37;"J1";"PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Left";1;"PWR";;;
38;"J3";"PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left";1;"BUS OUT";;;
39;"J4";"PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left";1;"PGM ENBLE";;;
